macro,praca,arquetipo,n,prob_quebra,mes_quebra_p10,mes_quebra_p50,mes_quebra_p90,caixa_min_p10_MM,caixa_min_p50_MM,sens_selic_desvio_base,sens_incc_medio,sens_fator_degrau,sens_fator_demanda
focus_base,Lajeado,fluxo_dependente,200,0.97,18.0,20.0,30.0,-1.9091907269272603,-1.5822042014821913,-0.22125798041591538,-0.08745841850043963,0.5601070007547234,0.6898622023168245
focus_base,Lajeado,intermediaria,200,0.47,20.0,20.0,23.0,0.45300950492862413,2.5968036620298927,-0.13344391274898856,-0.060188105244256704,0.5818054341433513,0.6565238349484037
focus_base,Lajeado,capitalizada,200,0.0,,,,13.630712528593127,14.223581954172161,0.0,0.0,0.0,0.0
focus_base,Balneario Camboriu,fluxo_dependente,200,0.97,8.0,16.0,18.0,-5.803632807423033,-5.261607948492714,-0.16244518789587004,-0.10350844951096135,-0.0014857490366661486,0.9414853456953733
focus_base,Balneario Camboriu,intermediaria,200,0.975,17.0,20.0,20.0,-5.804478857514926,-2.6824466012081754,-0.2635641256286946,-0.07879903030379266,-0.037724158861828894,0.7999072771327672
focus_base,Balneario Camboriu,capitalizada,200,0.0,,,,34.67417689534902,36.19801949649925,0.0,0.0,0.0,0.0
