episodio,praca,arquetipo,insolvente_em,quebra_em_meses,encaixe,caixa_min_MM,caixa_final_MM,lancamentos,preco_var_pct,estoque_meses_fim,vso_medio_pct
encol_1995_99,lajeado,fluxo_dependente,1996-10,15.0,forte,-1.8241048441133252,-1.8241048441133252,3,-5.83936927388714,36.92705621319804,4.2459879482471745
encol_1995_99,lajeado,intermediaria,1997-03,20.0,forte,-0.7930725019135647,1.1432894842559038,2,-3.161424857332562,33.32730552282923,5.0164928651552785
encol_1995_99,lajeado,capitalizada,sobrevive,,forte,4.6796515400141585,4.845042968265997,3,-1.7532471313161158,33.17021395117502,5.404772867930662
encol_1995_99,balneario_camboriu,fluxo_dependente,1996-01,6.0,forte,-2.260537637161953,-2.260537637161953,1,-26.957912908962754,50.209092942393404,2.1673274375538547
encol_1995_99,balneario_camboriu,intermediaria,1996-06,11.0,forte,-7.238123774434051,-7.238123774434051,2,-27.205945753630033,51.48118545132716,2.160740255874613
encol_1995_99,balneario_camboriu,capitalizada,sobrevive,,forte,19.763002109940928,20.875481490803377,1,-23.351939852610727,49.16888173951838,2.420518115626974
brasil_2014_17,lajeado,fluxo_dependente,2015-07,18.0,forte,-0.9442126242588884,-0.9442126242588884,3,-6.332711434365446,38.474539196368916,4.287533835303927
brasil_2014_17,lajeado,intermediaria,2015-10,21.0,forte,1.495278914896052,2.671555467727088,3,-4.5360016748122405,35.53134749453688,4.93925749499472
brasil_2014_17,lajeado,capitalizada,sobrevive,,forte,12.431956026760755,13.50250213723195,3,-3.151379762893325,30.076063182580615,5.640968605842774
brasil_2014_17,balneario_camboriu,fluxo_dependente,2015-05,16.0,forte,-5.643343532162747,-5.643343532162747,3,-17.466562233964954,37.922858822920155,3.3419487847547855
brasil_2014_17,balneario_camboriu,intermediaria,2015-09,20.0,forte,-3.5555705232468244,3.819506232786484,2,-15.276952625749852,36.94601592954354,3.5031392344268477
brasil_2014_17,balneario_camboriu,capitalizada,sobrevive,,forte,31.37598387426317,31.37598387426317,2,-8.963750470601461,31.356088908747967,3.8630000561897337
espanha_2007_12,lajeado,fluxo_dependente,2008-11,16.0,forte,-0.27438085476339585,-0.27438085476339585,3,-19.776223430496533,93.90156691925749,2.7904538061949915
espanha_2007_12,lajeado,intermediaria,2009-03,20.0,forte,1.5344414517519667,4.751005088948998,2,-19.145152594587945,81.86168232537062,3.251976121581427
espanha_2007_12,lajeado,capitalizada,sobrevive,,forte,11.612945001637268,11.612945001637268,2,-18.787712837410464,74.31524882731179,3.594358924321973
espanha_2007_12,balneario_camboriu,fluxo_dependente,2008-12,17.0,forte,-0.6353804741617284,-0.6353804741617284,3,-34.06573630314751,46.15831483261797,3.3737765450191666
espanha_2007_12,balneario_camboriu,intermediaria,2009-03,20.0,forte,2.9140668250994772,14.009216030850506,2,-32.19509102884722,44.720022305928524,3.5204480256850275
espanha_2007_12,balneario_camboriu,capitalizada,sobrevive,,forte,38.49440953536623,39.614993534212836,3,-25.19870755599016,38.99656463035713,3.8651961502840773
china_2021_23,lajeado,fluxo_dependente,2022-04,15.0,forte,0.3020769755380173,0.3020769755380173,3,-10.72130718962373,64.24427254745423,3.6360186292502545
china_2021_23,lajeado,intermediaria,2022-08,19.0,forte,1.13172855669624,4.589896802896076,2,-10.250306414178645,53.52526056551374,4.210263590931344
china_2021_23,lajeado,capitalizada,sobrevive,,forte,13.523606491138358,13.523606491138358,2,-9.616359851828227,44.8376122487226,4.740470179902076
china_2021_23,balneario_camboriu,fluxo_dependente,2022-05,16.0,forte,0.6950485568631667,0.6950485568631667,3,-17.110855515820113,44.45645257301305,3.91320739068087
china_2021_23,balneario_camboriu,intermediaria,2022-07,18.0,forte,1.8169627514420363,14.23003241442685,2,-15.378774329402333,42.571942874482666,4.08869658229245
china_2021_23,balneario_camboriu,capitalizada,sobrevive,,forte,38.56421356496908,42.05970893455769,2,-10.773060288066215,34.8080784312024,4.432506045553686
eua_2006_10,lajeado,fluxo_dependente,2008-01,18.0,fraco,-2.0907387797825345,-2.0907387797825345,4,-14.56485349327351,75.3475910010739,3.7738351650212603
eua_2006_10,lajeado,intermediaria,2009-04,33.0,fraco,2.592495963488493,3.5256997967051547,4,-11.52128983806785,67.8481805756128,4.832338508366968
eua_2006_10,lajeado,capitalizada,sobrevive,,fraco,14.323379136871434,16.50226164930479,3,-10.739559553216294,50.60011544450331,5.377890667574917
eua_2006_10,balneario_camboriu,fluxo_dependente,2009-01,30.0,fraco,0.5821450415985062,5.155121532346523,5,-4.317758188083898,27.895101803820996,6.077373208789435
eua_2006_10,balneario_camboriu,intermediaria,sobrevive,,fraco,6.717260459351331,32.12381616812577,5,2.313273407590022,19.51171083424062,7.162116149766634
eua_2006_10,balneario_camboriu,capitalizada,sobrevive,,fraco,37.88178135407827,65.3703782137585,4,3.1432329243207713,18.77440446337786,7.401841725490797
